Timestamp,Gesture_Label,Flex1,Flex2,Flex3,Flex4,Flex5,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Temp
1750954721,Hello,3521,3329,4095,3300,4095,16980,1420,260,-554,14,166,36.72
1750954723,Hello,3495,3329,4095,3286,4095,12452,-13256,4636,3067,-3352,-9106,36.58
1750954725,Hello,3459,3329,4095,3290,4095,14756,1656,-932,-13428,9549,19763,36.62
1750954727,Hello,3493,3343,4095,3318,4095,12692,-13804,2904,2296,-3222,-11135,36.58
1750954729,Hello,3566,3348,4095,3316,4095,14268,12720,-1380,843,-650,-6823,36.58
1750954731,Hello,3535,3341,4095,3310,4095,14824,532,-728,-6020,3047,16000,36.62
1750954733,Hello,3503,3340,4095,3308,4095,14156,-10884,2820,2484,-4354,-10003,36.53
1750954735,Hello,3559,3331,4095,3299,4095,14080,14564,-300,395,-1173,-3148,36.48
1750954737,Hello,3551,3342,4095,3327,4095,12856,-17712,4156,423,92,-1462,36.53
1750954739,Hello,3583,3342,4095,3310,4095,11452,18708,-5276,208,-763,-1519,36.53
1750954741,Hello,3556,3340,4095,3329,4095,15124,-6108,1752,-4200,2246,10716,36.44
1750954743,Hello,3552,3344,4095,3312,4095,12432,-3032,-304,3147,-5255,-22324,36.44
1750954745,Hello,3567,3326,4095,3326,4095,13228,-6620,412,-7698,4448,19027,36.39
1750954747,Hello,3627,3312,4095,3291,4095,12736,9476,-1692,8474,-3904,-22024,36.44
1750954749,Hello,3559,3312,4095,3296,4095,11968,7820,-588,-15491,8058,26697,36.39
1750954751,Hello,3615,3328,4095,3314,4095,9480,16576,-7556,5771,-4597,-14603,36.25
1750954804,Hello,3522,3343,4095,3339,4095,13516,-7124,3316,1087,5234,8076,36.29
1750954806,Hello,3541,3297,4095,3277,4095,14112,11832,-2540,2268,1651,4651,36.25
1750954808,Hello,3533,3301,4095,3264,4095,13488,11400,-2320,4288,-3221,-17537,36.25
1750954810,Hello,3490,3311,4095,3290,4095,14864,-10988,1812,-3093,-2478,-5444,36.2
1750954812,Hello,3502,3299,4095,3291,4095,13728,-4436,1492,-12429,2712,24668,36.25
1750954814,Hello,3494,3294,4095,3264,4095,12264,17724,-5500,-9050,4154,16475,36.25
1750954816,Hello,3611,3333,4095,3390,4095,14368,-9084,1276,-9330,303,15628,36.15
1750954818,Hello,3603,3282,4095,3313,4095,14244,548,1076,-17306,4598,24990,36.11
1750954821,Hello,3558,3279,4095,3265,4095,13236,14356,-6616,10766,-1371,-9073,36.25
1750954823,Hello,3572,3284,4095,3327,4095,14884,-12564,-984,-2262,-131,3920,36.11
1750954825,Hello,3602,3317,4095,3300,4095,14340,11848,-6168,-5014,899,2307,36.15
1750954827,Hello,3566,3303,4095,3502,4095,13328,-12328,1728,-2529,1490,3908,36.15
1750955220,Hello,3525,3299,4095,3280,4095,17612,2748,-1112,-1976,-3011,-6630,36.15
1750955222,Hello,3641,3294,4095,3303,4095,14848,11600,-5900,763,1529,1329,36.11
1750955224,Hello,3583,3280,4095,3283,4095,14900,-5288,248,-2520,7662,20334,36.06
1750955226,Hello,3539,3279,4095,3300,4095,14348,-276,3476,18751,-20354,-17814,36.06
1750955228,Hello,3600,3271,4095,3247,4095,13420,1852,-7336,-32768,-5981,30550,36.06
1750955230,Hello,3568,3258,4095,3247,4095,14184,9680,-8892,703,-5103,-12053,36.01
1750955232,Hello,3539,3248,4095,3274,4095,14904,-8920,-1884,-2702,3498,16286,36.06
1750955234,Hello,3583,3245,4095,3264,4095,14380,1956,-4220,19742,-8696,-32768,35.87
1750955236,Hello,3572,3248,4095,3275,4095,14992,5048,-6760,-5420,7172,18354,36.01
1750955238,Hello,3471,3243,4095,2993,4095,14996,1372,-232,12468,-14463,-32768,35.97
1750955240,Hello,3446,3245,4095,3184,4095,13652,1220,-3420,-9745,17460,23730,36.01
1750955242,Hello,3482,3260,4095,3270,4095,14648,9664,-9836,-10265,11048,9170,36.06
1750955244,Hello,3519,3223,4095,2772,4095,11852,13744,-12964,11408,-9382,-11687,36.06
1750955246,Hello,3504,3250,4095,3051,4095,12228,-14416,-872,-7268,9574,20775,35.97
1750955248,Hello,3632,3246,4095,3245,4095,12740,10740,-5884,-10357,17028,28607,35.97
1750955250,Hello,3583,3226,4095,3223,4095,11792,16816,-8284,11556,-6042,-13390,35.97
1750955252,Hello,3472,3238,4095,3290,4095,14024,-9128,788,7088,-13068,-24840,36.01
1750955254,Hello,3513,3229,4095,3280,4095,14104,-4304,-1336,-11814,10531,25539,35.92
1750955256,Hello,3578,3228,4095,3232,4095,11908,17464,-10732,971,1889,4614,35.87
1750955258,Hello,3603,3247,4095,3234,4095,15912,3988,-3104,9777,-11679,-22541,35.92
1750955260,Hello,3536,3245,4095,3239,4095,15140,-2600,-2268,9296,-8807,-28606,35.92
1750955365,I Love You,3631,3295,3049,3318,4095,16636,-2828,1104,-256,-2287,-818,36.2
1750955367,I Love You,3625,3219,4095,3931,4095,16600,-5000,4,-1759,-1479,-88,36.25
1750955369,I Love You,3617,3187,4095,3904,4095,16052,-4524,-356,-238,475,-728,36.29
1750955371,I Love You,3615,3173,4095,3894,4095,16244,-4480,-4,-459,-39,-62,36.25
1750955373,I Love You,3630,3178,4095,3869,4095,16612,-4544,776,-195,-149,-235,36.25
1750955375,I Love You,3616,3163,4095,3885,4095,16224,-4484,1032,-67,234,-258,36.2
1750955377,I Love You,3625,3163,4095,3873,4095,16584,-4232,448,-593,143,-283,36.15
1750955379,I Love You,3626,3159,4095,3869,4095,16496,-4152,616,-673,82,-238,36.15
1750955381,I Love You,3623,3163,4095,3858,4095,16096,-4008,888,-724,32,-310,36.2
1750955383,I Love You,3627,3159,4095,3857,4095,16464,-4108,1172,-341,-225,-179,36.01
1750955385,I Love You,3632,3163,4095,3840,4095,16276,-3364,1200,-847,190,-271,36.11
1750955387,I Love You,3630,3153,4095,3844,4095,16276,-3404,1300,-679,181,-212,36.2
1750955389,I Love You,3630,3154,4095,3845,4095,16480,-3328,1556,-423,-254,-108,36.11
1750955391,I Love You,3632,3157,4095,3854,4095,16608,-3872,1540,-426,-34,-158,36.15
1750955393,I Love You,3632,3156,4095,3830,4095,16232,-3240,1700,-694,93,-264,36.11
1750955395,I Love You,3636,3154,4095,3824,4095,16396,-3576,1724,-393,-315,-217,36.01
1750955397,I Love You,3631,3153,4095,3837,4095,16484,-3656,1852,-632,162,-266,36.06
1750955399,I Love You,3632,3155,4095,3827,4095,16324,-3648,1564,-552,-42,-225,36.15
1750955401,I Love You,3613,3153,4095,3853,4095,16296,-3536,1708,-577,7,-280,36.15
1750955403,I Love You,3625,3152,4095,3839,4095,16236,-3416,1436,-239,144,13,36.06
1750955405,I Love You,3627,3150,4095,3846,4095,16388,-3460,1628,-148,51,-57,36.2
1750955407,I Love You,3634,3157,4095,3835,4095,16456,-3704,1352,-751,280,-365,36.01
1750955409,I Love You,3644,3158,4095,3836,4095,16220,-3668,1604,-631,22,-238,36.11
1750955411,I Love You,3630,3152,4095,3833,4095,16308,-3720,1256,-423,-41,-179,36.01
1750955413,I Love You,3635,3156,4095,3842,4095,16404,-3612,1256,-501,-288,-115,36.06
1750955415,I Love You,3609,2997,3676,3849,4095,16120,-3276,2020,-691,-218,-389,36.01
1750955417,I Love You,3618,3087,4095,3376,4095,16632,-3316,-832,-41,-1578,275,35.97
1750955470,I Love You,3609,3303,3233,3478,4095,16140,-5484,-1984,-877,-440,152,35.82
1750955472,I Love You,3570,3198,3728,3921,4095,15748,-5408,-912,-1548,2624,-1522,35.87
1750955474,I Love You,3575,3056,3627,3803,4095,15216,-5328,1640,-1605,1211,-1704,35.92
1750955476,I Love You,3582,3055,3613,3789,4095,15216,-4620,1516,374,-85,-1347,35.82
1750955478,I Love You,3600,3209,3454,3677,4095,15656,-3052,2296,803,-1361,-444,35.87
1750955480,I Love You,3609,3247,3248,3493,4095,16684,-3176,2332,-3909,-1466,-444,35.87
1750955482,I Love You,3605,3258,3702,3835,4095,15920,-3080,3248,1091,1193,-368,35.82
1750955484,I Love You,3619,3234,3712,3874,4095,15600,-3764,880,2747,617,-585,35.87
1750955486,I Love You,3613,3120,3708,3838,4095,16624,-4124,1572,41,494,-189,35.78
1750955488,I Love You,3607,3217,4095,3838,4095,16612,-3392,2280,-787,77,-159,35.87
1750955490,I Love You,3600,3194,4095,3855,4095,16340,-4132,1048,656,1595,-173,35.78
1750955492,I Love You,3625,3193,3714,3872,4095,16412,-4196,2000,541,520,-215,35.78
1750955494,I Love You,3621,3177,3728,3841,4095,16128,-3452,1696,-431,-392,287,35.82
1750955496,I Love You,3628,3153,3735,3854,4095,15272,-3432,2108,160,-1179,467,35.73
1750955498,I Love You,3507,2863,4095,3919,4095,16764,-556,1932,983,-2005,-1967,35.78
1750955500,I Love You,3454,2886,4095,3904,4095,16532,-256,2544,1083,449,302,35.73
1750955502,I Love You,3490,3159,4095,3920,4095,16372,-2216,1884,-591,-250,-155,35.73
1750955504,I Love You,3505,3151,4095,3865,4095,16412,-1928,1520,-46,-241,-643,35.82
1750955506,I Love You,3495,3009,4095,3463,4095,16420,-832,3116,738,534,-1007,35.82
1750955508,I Love You,3493,3083,4095,3914,4095,16440,-2024,2496,-788,-697,91,35.73
1750955510,I Love You,3490,3167,3533,3706,4095,15924,-468,2824,-2092,-717,1955,35.73
1750955512,I Love You,3465,3170,3735,3842,4095,17088,-376,4224,-217,-327,-144,35.68
1750955514,I Love You,3479,3172,4095,3535,4095,16792,44,1872,-1580,-1537,-1561,35.78
1750955844,Yes,3709,3911,4095,3774,4095,6040,3984,14420,1989,6667,574,36.06
1750955846,Yes,3691,3868,4095,3792,4095,5344,4128,15812,-2525,-18715,3393,36.2
1750955848,Yes,3709,3843,4095,3787,4095,17324,-2376,1152,-417,-27667,10029,36.11
1750955850,Yes,3738,3836,4095,3780,4095,9788,1708,12108,-4223,-23011,5003,36.15
1750955852,Yes,3755,3834,4095,3778,4095,5736,3612,13904,-932,-5629,1842,36.2
1750955854,Yes,3712,3819,4095,3773,4095,11308,2316,9276,-868,-8978,2677,36.11
1750955856,Yes,3701,3795,4095,3773,4095,11432,748,11044,-2105,-12799,2427,36.06
1750955858,Yes,3714,3815,4095,3760,4095,11840,1656,8076,-2561,-18318,1787,36.11
1750955860,Yes,3694,3781,4095,3750,4095,5836,3184,16380,-5425,-18379,6662,36.11
1750955862,Yes,3701,3768,4095,3725,4095,2348,3260,17196,-6288,-30196,8536,36.06
1750955893,Yes,3653,3869,4095,3833,4095,16420,-4552,-2804,-1216,342,-44,35.87
1750955895,Yes,3691,3856,4095,3785,4095,1872,5744,16928,-495,-6944,3887,35.78
1750955897,Yes,3658,3830,3568,3781,4095,13376,-576,884,-5000,32767,-15773,35.82
1750955899,Yes,3665,3780,4095,3794,4095,16412,-3308,2320,59,-26459,12331,35.92
1750955901,Yes,3665,3799,4095,3760,4095,-2972,6008,19740,999,9838,-4734,35.82
1750955903,Yes,3664,3771,3520,3766,4095,16516,-4264,-8076,-2133,-7494,2508,35.87
1750955905,Yes,3642,3739,4095,3734,4095,16920,-5228,-4804,-2324,-21146,5274,35.68
1750955907,Yes,3655,3755,4095,3703,4095,308,5344,17140,-1777,22753,-9695,35.78
1750955909,Yes,3708,3771,4095,3775,4095,15052,-3476,1936,-2307,-3669,1985,35.78
1750955911,Yes,3709,3858,4095,3803,4095,19060,-3000,-3228,-3918,-29914,5322,35.82
1750955913,Yes,3696,3846,4095,3802,4095,14596,-3580,-2448,-5971,-31597,5615,35.78
1750955915,Yes,3696,3851,4095,3771,4095,7644,2324,11112,260,-16161,5959,35.68
1750955917,Yes,3682,3834,4095,3791,4095,20956,-2520,-3016,-3857,25836,-10248,35.82
1750955919,Yes,3675,3818,4095,3783,4095,14952,-796,1020,-3087,-24463,7104,35.82
1750955921,Yes,3684,3813,4095,3759,4095,5964,4772,15464,-1080,-2092,4339,35.73
1750955923,Yes,3690,3810,4095,3741,4095,5528,4684,16848,-1086,48,-715,35.78
1750955925,Yes,3702,3793,4095,3760,4095,1176,5720,20608,2486,14114,-4924,35.78
1750955943,Yes,3774,3929,3652,3809,4095,15316,-3900,296,-259,14793,-5754,35.73
1750955945,Yes,3792,3903,4095,3770,4095,12056,-1348,8596,-2829,-17863,5901,35.64
1750955947,Yes,3787,3913,4095,3755,4095,4396,1168,15516,1845,5500,170,35.73
1750955949,Yes,3760,3856,4095,3734,4095,14692,-4424,-7216,-1862,-6976,1225,35.59
1750955951,Yes,3785,3856,4095,3748,4095,12996,-1468,8228,5046,9021,-2095,35.73
1750955953,Yes,3757,3841,4095,3740,4095,17716,-1576,-4572,2310,11440,-5645,35.78
1750955955,Yes,3760,3868,4095,3718,4095,2920,3736,15684,-599,-1997,816,35.82
1750955957,Yes,3731,3823,4095,3738,4095,17628,-2792,-3508,-1165,2413,-1651,35.68
1750955959,Yes,3778,3823,4095,3776,4095,5372,2924,13528,12458,32767,-8002,35.68
1750955961,Yes,3751,3824,4095,3760,4095,2044,4192,17776,-3455,-16258,3181,35.78
1750955963,Yes,3730,3802,4095,3733,4095,10208,-2092,5692,9394,32767,184,35.82
1750955965,Yes,3732,3794,4095,3712,4095,12404,704,8708,-1791,-30483,6005,35.73
1750955967,Yes,3755,3828,4095,3713,4095,536,4572,15380,-592,-693,-696,35.73
1750955969,Yes,3769,3849,4095,3712,4095,-64,3772,15104,261,1219,375,35.64
1750955971,Yes,3733,3833,4095,3695,4095,-1384,3840,16280,955,2838,1215,35.68
1750955973,Yes,3704,3792,4095,3691,4095,7888,-3292,2916,6163,32767,-9269,35.64
1750955975,Yes,3722,3788,4095,3699,4095,22748,-2048,-4812,-22,9467,-2693,35.78
1750955977,Yes,3722,3803,4095,3734,4095,15004,-1792,4428,1073,28346,-5629,35.64
1750955979,Yes,3774,3826,4095,3696,4095,-2852,5068,19956,4420,29948,-3363,35.78
1750955981,Yes,3743,3792,4095,3688,4095,4224,296,12036,4778,32767,-8695,35.68
1750955983,Yes,3729,3805,4095,3681,4095,588,2584,17692,2061,32767,-6850,35.73
1750955985,Yes,3747,3793,4095,3679,4095,-3100,4148,17836,8817,28718,1110,35.68
1750955987,Yes,3711,3763,4095,3664,4095,-2040,4188,17128,2617,8207,-1041,35.82
1750956056,No,3787,3859,3553,3893,4095,16880,-2636,-2536,-2840,-68,-1395,35.87
1750956058,No,3565,3249,3122,3843,4095,17580,-1364,-1780,280,186,184,36.06
1750956060,No,3676,3287,3116,3779,4095,18328,-1044,-1880,28,1495,141,36.06
1750956062,No,3673,3746,3456,3792,4095,16112,-2528,576,-943,408,1401,36.01
1750956064,No,3648,3312,3206,3783,4095,15984,-2232,236,-1065,167,-1167,35.92
1750956066,No,3693,3643,3331,3888,4095,16712,-3072,-1064,-264,-205,-213,35.97
1750956068,No,3693,3618,3305,3853,4095,16752,-2708,-728,-526,-95,-282,35.92
1750956070,No,3681,3605,3297,3846,4095,16732,-2112,-204,-452,80,-521,36.06
1750956072,No,3690,3605,3293,3825,4095,16868,-1940,-212,-489,89,-151,36.06
1750956074,No,3689,3583,3280,3830,4095,16640,-1972,740,-533,-167,-104,36.01
1750956076,No,3674,3600,3280,3819,4095,16552,-2208,724,-354,-65,-257,35.87
1750956078,No,3682,3583,3290,3817,4095,16608,-2516,1000,-361,60,-215,35.97
1750956080,No,3684,3597,3282,3814,4095,16580,-2332,832,-480,-129,-301,35.92
1750956082,No,3680,3581,3286,3806,4095,16460,-2464,824,-496,-42,-332,35.92
1750956084,No,3669,3583,3280,3813,4095,16696,-2348,736,-265,-25,-433,36.01
1750956086,No,3696,3573,3291,3786,4095,16364,-2616,-36,-1430,786,468,35.87
1750956088,No,3697,3664,3327,3820,4095,16436,-2684,-1748,-1174,2005,-734,35.82
1750956090,No,3696,3583,3275,3808,4095,16076,-2384,1684,309,3647,-1188,35.87
1750956092,No,3698,3654,3322,3773,4095,17328,-840,1436,-355,-1019,-457,35.82
1750956094,No,3694,3580,3295,3760,4095,17104,-2260,-2124,-328,896,5,35.92
1750956096,No,3703,3583,3341,3762,4095,16636,-1456,-32,-580,43,-611,35.82
1750956098,No,3695,3655,4095,3760,4095,17056,-1968,436,-685,186,-229,35.78
1750956100,No,3679,3731,3377,3747,4095,16596,-1620,-684,-1153,1099,-250,35.82
1750956102,No,3715,3649,3319,3745,4095,16776,-2132,28,-166,205,-346,35.82
1750956104,No,3695,3607,3319,3795,4095,16648,-1920,-576,-621,1118,-182,35.82
1750956106,No,3694,3583,3295,3771,4095,16748,-1564,444,-344,-25,-327,35.87
1750956147,No,3678,3294,3115,3745,4095,17104,-2800,-636,100,450,381,35.82
1750956149,No,3706,3647,3398,3731,4095,16916,-1736,324,-873,-305,-961,35.78
1750956151,No,3715,3709,3401,3728,4095,16672,-1776,1012,-580,299,-346,35.78
1750956153,No,3695,3282,3119,3811,4095,16952,-2436,608,492,-2952,994,35.73
1750956155,No,3667,3261,4095,3745,4095,16892,-1492,0,-663,-1090,-144,35.73
1750956157,No,3645,3251,4095,3751,4095,17292,-1600,-496,-557,-40,-308,35.64
1750956159,No,3619,3321,4095,3750,4095,17388,-1212,-1032,-451,-54,-264,35.64
1750956161,No,3637,3228,4095,3725,4095,17488,-1048,-296,-2791,-35,-698,35.59
1750956163,No,3699,3613,3280,3728,4095,17304,-164,-2424,-1669,2062,-802,35.64
1750956165,No,3632,3235,4095,3723,4095,17012,232,-1888,-830,601,-1056,35.68
1750956167,No,3670,3250,4095,3687,4095,16736,-136,-3436,-553,-15,-666,35.68
1750956169,No,3642,3216,4095,3661,4095,17588,544,1768,-1649,-1758,849,35.59
1750956171,No,3696,3694,3264,3696,4095,16948,56,-1096,-266,125,-327,35.64
1750956173,No,3690,3632,3229,3691,4095,16928,328,-472,-371,286,-243,35.59
1750956175,No,3694,3621,3212,3691,4095,16548,-756,1848,9153,903,-867,35.73
1750956177,No,3633,3166,4095,3718,4095,16872,2328,1956,-1101,-429,-1149,35.49
1750956179,No,3649,3180,4095,3761,4095,16888,1508,324,-297,-863,-363,35.59
1750956181,No,3669,3698,3281,3735,4095,17052,1412,-528,-183,-6,-196,35.54
1750956183,No,3694,3674,3270,3707,4095,16976,780,-1164,-1147,312,-195,35.45
1750956185,No,3691,3641,3243,3691,4095,17232,-472,-2916,1160,2698,-1459,35.49
1750956187,No,3669,3207,4095,3719,4095,16888,1752,-744,-990,567,-1190,35.45
1750956189,No,3633,3223,4095,3675,4095,16532,1568,-376,-4008,-4505,318,35.64
1750956191,No,3684,3782,3363,3728,4095,16696,-2704,-1704,-693,1123,-1047,35.45
1750956290,Please,3457,3282,3050,3404,4095,7508,12552,9904,-31501,-4531,2977,35.49
1750956292,Please,3417,3248,3042,3332,4095,8012,13620,-616,4784,2698,2836,35.59
1750956294,Please,3397,3249,3013,3312,4095,5908,16928,-5532,3568,2194,-58,35.49
1750956296,Please,3334,3248,3014,3406,4095,9060,12976,-924,1439,2155,-1212,35.49
1750956298,Please,3397,3205,2996,3339,4095,8408,13848,-1512,-3899,-416,-1002,35.59
1750956300,Please,3359,3236,4095,3312,4095,7852,13340,-4248,-1525,-29,42,35.4
1750956302,Please,3312,3229,4095,3284,4095,6360,14392,-892,6678,984,634,35.49
1750956304,Please,3344,3216,4095,3306,4095,5820,14380,-456,-1238,2073,29,35.49
1750956306,Please,3344,3237,3008,3361,4095,8588,13104,-5588,-384,706,-92,35.49
1750956308,Please,3345,3231,3007,3369,4095,6036,23440,-1540,-23664,-12168,-582,35.54
1750956310,Please,3365,3274,3005,3299,4095,6856,1124,10528,-32768,-6616,5712,35.49
1750956313,Please,3297,3312,4095,3338,4095,5104,-8832,8532,7736,-1585,-4147,35.59
1750956315,Please,3349,3297,3040,3403,4095,12112,16376,1344,32767,-1634,-5636,35.54
1750956317,Please,3271,3283,3033,3328,4095,5616,4120,8192,32767,7455,-14227,35.49
1750956319,Please,3282,3248,3010,3330,4095,6400,21152,852,20688,3594,3211,35.49
1750956321,Please,3343,3223,2998,3324,4095,6556,16136,-1432,2852,-1393,2366,35.59
1750956323,Please,3340,3209,2997,3312,4095,5736,18960,-492,-6584,555,-1980,35.54
1750956325,Please,3278,3205,2993,3275,4095,5840,16356,6644,-32768,985,-3402,35.49
1750956327,Please,3312,3215,3024,3275,4095,6424,15048,-2044,138,-70,-41,35.54
1750956329,Please,3291,3211,2993,3301,4095,5380,22496,560,-24493,-2134,-6589,35.49
1750956331,Please,3325,3294,3021,3344,4095,3688,-9772,7608,-8596,-2743,2766,35.54
1750956333,Please,3297,3303,4095,3312,4095,3956,-1804,6332,32767,3216,-13526,35.54
1750956335,Please,3300,3218,3009,3313,4095,4300,16440,676,3296,6424,1238,35.49
1750956337,Please,3312,3215,2992,3367,4095,3896,17980,-3112,-7350,441,-3151,35.45
1750956339,Please,3311,3248,2979,3312,4095,3512,-8216,10540,-23380,-7492,-335,35.49
1750956341,Please,3281,3254,2997,3301,4095,4908,628,10040,32767,7036,-12144,35.49
1750956343,Please,3295,3205,3015,3281,4095,4952,15668,-1280,761,-1460,3026,35.59
1750956345,Please,3345,3227,2994,3280,4095,5448,18964,816,-26267,-2673,-5854,35.45
1750956347,Please,3327,3248,2990,3298,4095,4300,-3724,12080,-30712,-4275,4025,35.45
1750956349,Please,3312,3291,4095,3284,4095,6684,-8024,2364,32767,1553,-8508,35.54
1750956351,Please,3315,3248,3015,3280,4095,6312,21672,7076,32767,3139,3574,35.59
1750956353,Please,3279,3233,3006,3273,4095,6888,14228,-2508,1550,-708,659,35.49
1750956355,Please,3299,3245,2999,3275,4095,5680,19156,904,14013,7143,1799,35.49
1750956357,Please,3309,3247,2992,3268,4095,4424,12084,-11008,2184,3110,-267,35.49
1750956425,Please,3322,3269,3038,3308,4095,7892,-4756,12096,-10424,-1400,3107,35.92
